team,matches,goals_scored,goals_conceded,attack,home_attack,home_defense,away_attack,away_defense,defense,win_rate,draw_rate,loss_rate,goal_diff,clean_sheets,failed_to_score,failed_rate,clean_rate,scored_vol,conceded_vol,last5_pts,finishing,suppression,style
Alaves,106,142,129,1.3396226415094339,1.3584905660377358,1.1320754716981132,1.320754716981132,1.3018867924528301,1.2169811320754718,0.3490566037735849,0.32075471698113206,0.330188679245283,13,30,32,0.3018867924528302,0.2830188679245283,1.1886792452830188,1.0461494263658089,7,1.1297169811320753,1.1245283018867924,Chaotic/Weak Defense
Almeria,106,125,162,1.179245283018868,1.320754716981132,1.471698113207547,1.0377358490566038,1.5849056603773586,1.528301886792453,0.2641509433962264,0.33962264150943394,0.39622641509433965,-37,20,28,0.2641509433962264,0.18867924528301888,0.9193637033739823,1.1006648691347352,4,0.9759433962264152,0.8528301886792453,Chaotic/Weak Defense
Athletic Bilbao,108,137,118,1.2685185185185186,1.3518518518518519,0.8888888888888888,1.1851851851851851,1.2962962962962963,1.0925925925925926,0.4351851851851852,0.24074074074074073,0.32407407407407407,19,37,33,0.3055555555555556,0.3425925925925926,1.1106094546545946,1.004960263052973,4,1.1060185185185185,1.2527777777777778,Average
Atletico Madrid,106,174,109,1.6415094339622642,1.8333333333333333,0.9074074074074074,1.4423076923076923,1.1538461538461537,1.028301886792453,0.5,0.24528301886792453,0.25471698113207547,65,37,27,0.25471698113207547,0.3490566037735849,1.3116939878780907,0.9561868765187214,10,1.4801886792452832,1.2971698113207548,Strong/Balanced
Barcelona,105,179,105,1.7047619047619047,1.8,0.7818181818181819,1.6,1.24,1.0,0.5523809523809524,0.2761904761904762,0.17142857142857143,74,36,20,0.19047619047619047,0.34285714285714286,1.2415336868935976,0.9660917830792959,11,1.5928571428571427,1.3085714285714287,Strong/Balanced
Barcelona (Barca,1,3,1,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,3,3.0,1.0,Strong/Balanced
Betis,103,157,147,1.5242718446601942,1.5686274509803921,1.2941176470588236,1.4807692307692308,1.5576923076923077,1.4271844660194175,0.3786407766990291,0.24271844660194175,0.3786407766990291,10,20,31,0.30097087378640774,0.1941747572815534,1.3134454815090717,1.048363882461599,10,1.3004854368932037,0.9184466019417477,Chaotic/Weak Defense
Celta Vigo,106,128,135,1.2075471698113207,1.320754716981132,1.2830188679245282,1.0943396226415094,1.2641509433962264,1.2735849056603774,0.39622641509433965,0.20754716981132076,0.39622641509433965,-7,34,30,0.2830188679245283,0.32075471698113206,1.025311559939134,1.2016735097034903,4,1.049056603773585,1.1245283018867924,Chaotic/Weak Defense
Espanyol,106,140,141,1.320754716981132,1.509433962264151,1.2452830188679245,1.1320754716981132,1.4150943396226414,1.330188679245283,0.330188679245283,0.29245283018867924,0.37735849056603776,-1,31,31,0.29245283018867924,0.29245283018867924,1.1372523144090292,1.1050629463263797,4,1.1103773584905658,1.0650943396226416,Average
Getafe,106,130,126,1.2264150943396226,1.1851851851851851,1.0740740740740742,1.2692307692307692,1.3076923076923077,1.1886792452830188,0.33962264150943394,0.3584905660377358,0.3018867924528302,4,29,27,0.25471698113207547,0.27358490566037735,0.9836687092631755,1.0010674260288535,3,1.055188679245283,1.1330188679245285,Draw/Passive
Granada,106,123,200,1.1603773584905661,1.4807692307692308,1.6153846153846154,0.8518518518518519,2.1481481481481484,1.8867924528301887,0.24528301886792453,0.1509433962264151,0.6037735849056604,-77,19,39,0.36792452830188677,0.1792452830188679,1.1338429598496298,1.2687890134682587,7,0.8943396226415096,0.6292452830188681,Chaotic/Weak Defense
Leganes,106,132,118,1.2452830188679245,1.4509803921568627,0.9803921568627451,1.0545454545454545,1.2363636363636363,1.1132075471698113,0.3584905660377358,0.32075471698113206,0.32075471698113206,14,35,30,0.2830188679245283,0.330188679245283,1.0353316919486,0.9646658891444692,6,1.0641509433962262,1.229245283018868,Average
Levante,106,114,137,1.0754716981132075,1.1132075471698113,0.9811320754716981,1.0377358490566038,1.6037735849056605,1.2924528301886793,0.25471698113207547,0.3490566037735849,0.39622641509433965,-23,32,33,0.3113207547169811,0.3018867924528302,0.9486645350925685,1.197221477690295,11,0.8575471698113206,1.0962264150943397,Chaotic/Weak Defense
Mallorca,106,133,151,1.2547169811320755,1.3076923076923077,1.1923076923076923,1.2037037037037037,1.6481481481481481,1.4245283018867925,0.32075471698113206,0.25471698113207547,0.42452830188679247,-18,27,27,0.25471698113207547,0.25471698113207547,1.000578330452953,1.2358490566037734,6,1.0707547169811322,0.9745283018867925,Chaotic/Weak Defense
Osasuna,105,118,165,1.1238095238095238,1.3396226415094339,1.4339622641509433,0.9038461538461539,1.7115384615384615,1.5714285714285714,0.3047619047619048,0.22857142857142856,0.4666666666666667,-47,21,31,0.29523809523809524,0.2,0.9430976124325433,1.1780301787479033,5,0.93,0.8371428571428573,Chaotic/Weak Defense
Real Betis,3,4,3,1.3333333333333333,0.5,0.5,3.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1,1,1,0.3333333333333333,0.3333333333333333,1.247219128924647,0.816496580927726,5,1.0999999999999999,1.3,Chaotic/Weak Defense
Real Madrid,106,163,138,1.5377358490566038,1.9615384615384615,1.1923076923076923,1.1296296296296295,1.4074074074074074,1.3018867924528301,0.4056603773584906,0.3018867924528302,0.29245283018867924,25,25,25,0.2358490566037736,0.2358490566037736,1.2898334564270764,0.9825823823616254,8,1.3599056603773585,1.0311320754716982,Chaotic/Weak Defense
Real Sociedad,106,133,136,1.2547169811320755,1.2777777777777777,1.2777777777777777,1.2307692307692308,1.2884615384615385,1.2830188679245282,0.37735849056603776,0.3113207547169811,0.3113207547169811,-3,28,26,0.24528301886792453,0.2641509433962264,1.0994108263899076,1.1138469541996558,8,1.1014150943396228,1.067924528301887,Average
Sevilla,105,147,114,1.4,1.490566037735849,0.9811320754716981,1.3076923076923077,1.1923076923076923,1.0857142857142856,0.44761904761904764,0.3238095238095238,0.22857142857142856,33,37,18,0.17142857142857143,0.3523809523809524,0.9521904571390467,1.043020209038437,9,1.2971428571428572,1.265714285714286,Strong/Balanced
Valencia,106,134,139,1.2641509433962264,1.2830188679245282,1.4528301886792452,1.2452830188679245,1.169811320754717,1.3113207547169812,0.3490566037735849,0.25471698113207547,0.39622641509433965,-5,28,28,0.2641509433962264,0.2641509433962264,1.0754716981132075,1.1019982497261194,3,1.086320754716981,1.0509433962264152,Average
Valladolid,106,114,146,1.0754716981132075,1.1568627450980393,1.4313725490196079,1.0,1.3272727272727274,1.3773584905660377,0.2358490566037736,0.32075471698113206,0.44339622641509435,-32,23,39,0.36792452830188677,0.2169811320754717,1.0342996282011883,1.0228782013909283,11,0.8179245283018869,0.9688679245283021,Average
Villarreal,106,126,136,1.1886792452830188,1.3148148148148149,1.0555555555555556,1.0576923076923077,1.5192307692307692,1.2830188679245282,0.330188679245283,0.29245283018867924,0.37735849056603776,-10,35,29,0.27358490566037735,0.330188679245283,0.9626340391565358,1.1472256689479443,4,1.008490566037736,1.1273584905660379,Average
