team,volatility
Real Sociedad,1.0871618572939368
Alaves,1.1472147553598038
Osasuna,0.979449862881355
Granada,1.2271642935604956
Levante,1.1224468832197438
Valencia,1.18595833617427
Atletico Madrid,1.227739643722708
Betis,1.2943816009251519
Villarreal,1.121313797635774
Getafe,1.1091555295361264
Espanyol,0.9998587470859541
Valladolid,1.0516331125396492
Athletic Bilbao,0.9596374079840051
Barcelona,1.0968625003311803
Real Madrid,1.0078785685981957
Almeria,1.0299196392325163
Sevilla,0.9943342320224883
Leganes,1.0222109636651762
Celta Vigo,1.255046311072963
Mallorca,1.1706147884982692
